id	gender	deg	yrdeg	field	startyr	year	rank	admin	salary
1	"F"	"Other"	92	"Other"	95	95	"Assist"	0	6684
2	"M"	"Other"	91	"Other"	94	95	"Assist"	0	4881
4	"M"	"PhD"	96	"Other"	95	95	"Assist"	0	4231
6	"M"	"PhD"	66	"Other"	91	95	"Full"	0	12184
7	"M"	"PhD"	70	"Other"	71	95	"Assoc"	0	4604
8	"M"	"PhD"	75	"Other"	95	95	"Assist"	0	4047.674
9	"M"	"PhD"	82	"Other"	87	95	"Assoc"	0	5472
10	"M"	"PhD"	68	"Arts"	80	95	"Full"	0	7494
12	"M"	"PhD"	64	"Other"	64	95	"Full"	0	9286
13	"M"	"PhD"	68	"Prof"	69	95	"Full"	0	8770
14	"M"	"PhD"	79	"Other"	92	95	"Full"	0	9477
15	"M"	"PhD"	72	"Other"	91	95	"Full"	0	5088
16	"M"	"PhD"	73	"Other"	79	95	"Full"	0	7935
17	"M"	"PhD"	72	"Other"	72	95	"Full"	0	5472
18	"M"	"PhD"	67	"Prof"	69	95	"Full"	0	7069
19	"M"	"PhD"	79	"Other"	91	95	"Assoc"	0	4332
20	"F"	"PhD"	92	"Arts"	95	95	"Assist"	0	4231
21	"M"	"PhD"	88	"Arts"	88	95	"Assoc"	0	4171
22	"M"	"PhD"	93	"Other"	93	95	"Assist"	0	4881
23	"M"	"PhD"	70	"Other"	70	95	"Full"	0	10867
24	"M"	"PhD"	76	"Prof"	83	95	"Full"	0	9420
26	"M"	"PhD"	67	"Other"	71	95	"Full"	0	5022
28	"M"	"PhD"	92	"Prof"	93	95	"Assist"	0	4292
29	"M"	"PhD"	80	"Other"	81	95	"Assoc"	0	5022
30	"M"	"PhD"	78	"Other"	87	95	"Full"	0	6488
31	"M"	"PhD"	86	"Other"	90	95	"Assoc"	0	5022
32	"M"	"PhD"	91	"Arts"	95	95	"Assist"	0	3939
34	"M"	"PhD"	86	"Other"	95	95	"Assoc"	0	8278
35	"M"	"PhD"	64	"Other"	65	95	"Full"	0	8165
